JD (2400000+),KIC 8462852,Ref1,Ref2,Ref3,Ref4,Ref5,Ref6,Ref7,Ref8,KIC error,Ref1 Error,Ref2 Error,Ref3 Error,Ref4 Error,Ref5 Error,Ref6 Error,Ref7 Error,Ref8 Error,Date
23025.5,12.35,12.28,12.09,12.14,12.25,12.45,12.28,12.21,12.36,0.12,-0.15,0.01,0.01,0.23,0.16,0.07,-0.09,-0.01,1-Dec-21
23347.5,12.31,12.17,12.10,12.08,12.43,12.61,12.36,12.18,12.14,0.09,-0.04,0.01,0.08,0.05,-0.01,-0.01,-0.05,0.21,19-Oct-22
26162,12.27,12.23,12.03,12.17,12.38,12.57,12.34,12.08,12.27,0.06,-0.09,0.08,-0.01,0.10,0.04,0.01,0.04,0.08,3-Jul-30
26163,12.25,12.23,12.08,12.16,12.58,12.41,12.32,12.11,12.17,0.11,-0.10,0.03,0.00,-0.10,0.19,0.03,0.01,0.18,4-Jul-30
26166,12.39,12.12,12.12,12.17,12.39,12.35,12.35,12.17,12.39,0.10,0.01,-0.01,-0.02,0.08,0.26,0.01,-0.05,-0.04,7-Jul-30
26173,12.49,12.14,12.09,12.09,12.44,12.55,12.30,12.14,12.32,0.03,0.00,0.02,0.07,0.04,0.06,0.05,-0.01,0.03,14-Jul-30
26174,12.32,12.16,12.09,12.20,12.49,12.57,12.32,12.04,12.20,0.06,-0.02,0.02,-0.04,-0.01,0.04,0.03,0.08,0.15,15-Jul-30
26175,12.23,12.27,12.13,12.10,12.38,12.55,12.20,12.12,12.32,0.09,-0.13,-0.03,0.05,0.10,0.06,0.15,0.01,0.03,16-Jul-30
26178,12.43,12.26,11.97,12.17,12.37,12.47,12.32,12.19,12.31,0.10,-0.13,0.13,-0.01,0.11,0.14,0.03,-0.06,0.04,19-Jul-30
26181,12.32,12.22,12.05,12.20,12.34,12.57,12.34,12.07,12.30,0.07,-0.08,0.06,-0.04,0.14,0.04,0.02,0.06,0.05,22-Jul-30
26183,12.42,12.07,12.03,12.26,12.42,12.55,12.34,12.14,12.24,0.07,0.06,0.08,-0.10,0.05,0.05,0.01,-0.02,0.11,24-Jul-30
26188,12.39,12.11,12.02,12.16,12.47,12.53,12.28,12.22,12.28,0.06,0.03,0.08,0.00,0.01,0.08,0.07,-0.10,0.07,29-Jul-30
26189,12.40,12.13,12.04,12.15,12.52,12.52,12.34,12.13,12.23,0.05,0.00,0.07,0.01,-0.04,0.08,0.02,-0.01,0.12,30-Jul-30
26190,12.33,12.08,12.08,12.17,12.48,12.55,12.41,12.12,12.17,0.07,0.05,0.02,-0.01,-0.01,0.06,-0.06,0.01,0.18,31-Jul-30
26205,12.37,12.14,12.05,12.14,12.29,12.55,12.39,12.25,12.27,0.09,0.00,0.06,0.02,0.19,0.06,-0.04,-0.12,0.08,15-Aug-30
26207,12.38,12.12,12.07,12.11,12.38,12.59,12.38,12.16,12.26,0.05,0.01,0.04,0.05,0.10,0.01,-0.03,-0.03,0.09,17-Aug-30
26208,12.35,12.19,12.12,12.17,12.42,12.58,12.38,12.02,12.19,0.07,-0.05,-0.02,-0.01,0.06,0.02,-0.03,0.11,0.16,18-Aug-30
26209,12.47,12.18,12.12,12.11,12.56,12.54,12.29,12.16,12.12,0.10,-0.05,-0.01,0.05,-0.08,0.07,0.07,-0.04,0.23,19-Aug-30
26215,12.34,12.21,12.14,12.02,12.32,12.56,12.36,12.18,12.27,0.09,-0.08,-0.03,0.14,0.16,0.04,-0.01,-0.05,0.08,25-Aug-30
26218,12.18,12.16,12.16,12.08,12.42,12.57,12.42,12.08,12.18,0.08,-0.02,-0.05,0.08,0.06,0.04,-0.07,0.04,0.17,28-Aug-30
26222,12.36,12.02,12.13,12.14,12.42,12.53,12.42,12.22,12.19,0.09,0.12,-0.02,0.02,0.06,0.07,-0.07,-0.10,0.16,1-Sep-30
26224,12.39,12.29,12.17,12.10,12.44,12.46,12.41,12.17,12.02,0.15,-0.16,-0.06,0.06,0.03,0.14,-0.05,-0.04,0.33,3-Sep-30
26229,12.37,12.23,12.21,12.14,12.43,12.50,12.37,11.98,12.21,0.10,-0.10,-0.10,0.02,0.05,0.11,-0.02,0.15,0.14,8-Sep-30
26230,12.31,12.23,11.96,12.21,12.47,12.49,12.31,12.19,12.19,0.10,-0.10,0.15,-0.05,0.01,0.11,0.04,-0.07,0.16,9-Sep-30
26234,12.29,12.16,12.10,12.08,12.39,12.61,12.31,12.14,12.27,0.05,-0.03,0.01,0.08,0.09,-0.01,0.04,-0.02,0.08,13-Sep-30
26239,12.36,12.21,12.06,12.10,12.55,12.50,12.34,12.19,12.12,0.10,-0.07,0.05,0.06,-0.07,0.11,0.01,-0.06,0.23,18-Sep-30
26243,12.32,12.24,12.04,12.08,12.48,12.54,12.32,12.15,12.22,0.07,-0.11,0.07,0.08,0.00,0.07,0.03,-0.02,0.13,22-Sep-30
26247,12.34,12.17,12.05,12.15,12.49,12.56,12.25,12.13,12.25,0.05,-0.04,0.06,0.01,-0.02,0.04,0.10,0.00,0.10,26-Sep-30
26251,12.41,12.26,12.05,12.10,12.48,12.55,12.35,12.12,12.16,0.09,-0.13,0.06,0.05,0.00,0.06,0.01,0.00,0.19,30-Sep-30
26260,12.42,12.09,12.15,12.29,12.26,12.47,12.29,12.15,12.36,0.11,0.05,-0.04,-0.13,0.21,0.13,0.06,-0.03,-0.01,9-Oct-30
26281,12.33,12.08,12.10,12.18,12.39,12.49,12.24,12.22,12.37,0.07,0.06,0.01,-0.02,0.08,0.12,0.11,-0.09,-0.02,30-Oct-30
26262,12.34,12.29,12.09,12.18,12.39,12.57,12.37,12.09,12.09,0.12,-0.16,0.02,-0.02,0.08,0.03,-0.02,0.04,0.26,11-Oct-30
26263,12.35,12.23,11.99,12.23,12.48,12.48,12.35,12.10,12.20,0.09,-0.09,0.12,-0.07,-0.01,0.12,0.00,0.02,0.15,12-Oct-30
26276,12.53,12.25,12.13,12.04,12.44,12.60,12.28,12.16,12.16,0.10,-0.12,-0.02,0.11,0.04,0.01,0.07,-0.04,0.19,25-Oct-30
26282,12.40,12.11,12.17,12.14,12.40,12.64,12.28,12.11,12.21,0.07,0.02,-0.07,0.02,0.08,-0.04,0.07,0.02,0.14,31-Oct-30
26304,12.46,12.21,12.03,12.23,12.33,12.61,12.35,12.11,12.19,0.09,-0.07,0.07,-0.07,0.15,-0.01,0.00,0.01,0.16,22-Nov-30
26324,12.58,12.22,12.10,12.16,12.51,12.53,12.35,12.16,12.04,0.12,-0.09,0.01,0.00,-0.03,0.07,0.00,-0.03,0.31,12-Dec-30
26327,12.53,12.28,12.11,12.19,12.34,12.57,12.25,12.05,12.28,0.09,-0.14,0.00,-0.03,0.14,0.03,0.10,0.08,0.07,15-Dec-30
26327,12.44,12.25,11.98,12.17,12.44,12.42,12.29,12.19,12.31,0.10,-0.12,0.12,-0.01,0.04,0.19,0.06,-0.07,0.04,15-Dec-30
26331,12.53,12.27,12.03,12.10,12.40,12.49,12.38,12.11,12.29,0.08,-0.14,0.08,0.06,0.08,0.11,-0.03,0.01,0.06,19-Dec-30
26352,12.49,12.26,12.14,12.14,12.55,12.49,12.31,12.08,12.10,0.12,-0.13,-0.03,0.02,-0.07,0.11,0.05,0.05,0.25,9-Jan-31
26358,12.31,12.27,12.19,11.99,12.42,12.44,12.30,12.17,12.29,0.11,-0.13,-0.08,0.17,0.06,0.17,0.05,-0.05,0.06,15-Jan-31
26394.86,12.38,12.16,12.12,12.08,12.57,12.43,12.29,12.25,12.16,0.12,-0.03,-0.01,0.08,-0.09,0.18,0.06,-0.12,0.19,21-Feb-31
26398.5,12.33,12.18,12.12,12.17,12.36,12.62,12.31,12.05,12.25,0.06,-0.04,-0.02,-0.02,0.12,-0.02,0.04,0.08,0.10,25-Feb-31
26398,12.33,12.18,12.12,12.17,12.36,12.62,12.31,12.05,12.25,0.06,-0.04,-0.02,-0.02,0.12,-0.02,0.04,0.08,0.10,24-Feb-31
26399,12.35,12.14,12.08,12.19,12.50,12.57,12.35,12.08,12.16,0.07,0.00,0.03,-0.04,-0.02,0.04,0.00,0.05,0.19,25-Feb-31
26400,12.26,12.30,12.18,12.01,12.41,12.45,12.27,12.15,12.29,0.11,-0.17,-0.07,0.15,0.06,0.16,0.08,-0.03,0.06,26-Feb-31
26414,12.49,12.25,12.15,12.07,12.40,12.60,12.31,12.09,12.21,0.08,-0.12,-0.04,0.09,0.08,0.00,0.04,0.04,0.14,12-Mar-31
