title  Photometry data for N0302221335 from search centered on 20_06_15.4553_+44_27_24.793 using the gsc2.3.2 calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
---	----	----	-------------	----------------	------------------	--	---	-----------	-----------	-----	---------	------	------	-------	------------	----------	----------	-----------
N0302221335	2411313.525236	1889.849384	12.18	 0.26	13.13	301.56502	 44.45712	-87.3	0.511	i00083	97	0	1349476352	0	0.000700		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2411581.612691	1890.583870	11.49	 1.76	11.88	301.56603	 44.45546	 81.2	0.465	i01540	156	276871296	1214930946	0	0.000700	7,11,12,13,15,23,28	1,13,14,17,19,21,22,27,30	UNINIT
N0302221335	2411610.664686	1890.663465	12.04	 0.33	13.37	301.56555	 44.45787	-77.7	0.029	i01756	97	16512	1483694082	0	0.000700	7,14	1,13,14,16,17,18,19,21,22,27,28,30	UNINIT
N0302221335	2411640.532201	1890.745294	11.88	99.00	13.18	301.56448	 44.45707	-51.5	0.446	i01889	97	33560576	1349412864	0	0.000700	11,12,25	11,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2411640.603185	1890.745488	12.66	99.00	12.98	301.56423	 44.45799	 41.3	0.181	i01893	97	69218304	1349410819	0	0.000700	12,13,21,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2411692.454482	1890.887547	11.66	 3.26	12.47	301.56575	 44.45693	-22.6	0.367	i02302	97	369137792	1214930947	0	0.000700	7,11,12,15,25,26,28	0,1,13,14,17,19,21,22,27,30	UNINIT
N0302221335	2411698.539278	1890.904217	12.30	 0.21	13.75	301.56455	 44.45733	 73.9	0.327	i02351	97	0	1349476352	0	0.000700		13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2411720.480699	1890.964331	12.33	 0.33	13.43	301.56486	 44.45706	 86.9	0.391	i02513	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2411746.448034	1891.035474	12.35	 0.32	14.00	301.56494	 44.45695	 52.1	0.270	i02801	97	0	1349478400	0	0.000700		11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2411964.667434	1891.633335	12.18	 0.38	13.15	301.56453	 44.45712	-87.2	0.402	i04047	155	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2412011.679022	1891.762134	12.52	99.00	13.01	301.56320	 44.45626	  7.2	0.229	i04450	97	8403072	1349410818	0	0.000700	7,11,12,13,23	1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2412077.427701	1891.942268	12.33	99.00	13.08	301.56755	 44.45697	-30.0	0.606	i05012	97	41949312	1349412867	0	0.000700	7,11,12,23,25	0,1,11,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2412079.476522	1891.947881	12.74	 0.43	13.48	301.56239	 44.45864	-69.9	0.647	i05113	97	128	23988227	0	0.000700	7	0,1,11,17,18,19,21,22,24	UNINIT
N0302221335	2412098.454768	1891.999876	12.17	 0.40	13.08	301.56392	 44.45617	-22.6	0.415	i05300	97	2097792	1886281730	0	0.000700	7,9,21	1,13,14,17,18,19,21,22,28,29,30	UNINIT
N0302221335	2412335.583801	1892.647770	12.48	99.00	13.08	301.56781	 44.45876	-71.3	0.107	i06786	97	310384768	1349410819	0	0.000700	7,11,12,23,25,28	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2412347.606624	1892.680619	12.06	 0.22	13.38	301.56486	 44.45701	-72.3	0.222	i06863	97	128	1349478400	0	0.000700	7	11,13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2412350.591104	1892.688774	11.94	99.00	12.24	301.56428	 44.45656	  5.5	0.282	i06919	97	33568768	1349410818	0	0.000700	11,12,13,25	1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2412360.590226	1892.716094	12.25	 0.31	13.80	301.56487	 44.45762	-14.0	0.293	i07092	97	128	1345282048	0	0.000700	7	13,14,16,17,18,19,21,28,30	UNINIT
N0302221335	2412368.565378	1892.737884	12.56	99.00	12.98	301.56686	 44.45772	-82.7	0.443	i07168	103	77609088	1349410819	0	0.000700	7,11,12,13,21,23,26	0,1,13,14,17,18,19,21,22,28,30	UNINIT
N0302221335	2412369.548073	1892.740569	12.31	 0.28	13.36	301.56480	 44.45740	 21.2	0.109	i07186	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
N0302221335	2412371.523501	1892.745966	12.26	 0.26	14.69	301.56479	 44.45718	 25.8	0.083	i07203	97	128	1349476352	0	0.000700	7	13,14,16,17,18,19,21,22,28,30	UNINIT
