title  Photometry data for APASS_J200615.5+442725 from search centered on 20_06_15.5_+44_27_24.6 using the apass calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
---	----	----	-------------	----------------	------------------	--	---	-----------	-----------	-----	---------	------	------	-------	------------	----------	----------	-----------
APASS_J200615.5+442725	2411313.525236	1889.849384	12.21	 0.13	13.17	301.56498	 44.45712	-87.4	0.511	i00083	151	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2411640.603185	1890.745488	12.74	 0.14	13.71	301.56433	 44.45794	 41.3	0.181	i01893	152	67108864	1349386243	640	0.000700	26	0,1,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2411698.539278	1890.904217	12.28	 0.13	13.89	301.56453	 44.45734	 73.9	0.327	i02351	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2411720.480699	1890.964331	12.26	 0.21	12.27	301.56475	 44.45704	 86.8	0.391	i02513	151	8320	1349386240	656	0.000700	7,13	17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2411746.448034	1891.035474	12.33	 0.11	14.09	301.56494	 44.45698	 52.1	0.270	i02801	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2411964.667434	1891.633335	12.25	 0.11	12.98	301.56451	 44.45712	-87.2	0.402	i04047	154	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2412347.606624	1892.680619	12.18	 0.16	12.81	301.56485	 44.45702	-72.4	0.222	i06863	152	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2412350.591104	1892.688774	12.04	 0.37	12.37	301.56429	 44.45667	  5.5	0.282	i06919	151	8192	1349386242	640	0.000700	13	1,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2412360.590226	1892.716094	12.17	 0.11	13.75	301.56487	 44.45767	-14.0	0.293	i07092	152	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2412368.565378	1892.737884	12.28	 0.50	12.49	301.56682	 44.45763	-82.7	0.443	i07168	151	268476544	1080688643	641	0.000700	7,13,15,28	0,1,17,19,21,22,30	0,7,9
APASS_J200615.5+442725	2412369.548073	1892.740569	12.30	 0.11	12.89	301.56484	 44.45741	 21.3	0.109	i07186	151	128	1349453824	528	0.000700	7	11,16,17,18,19,21,22,28,30	4,9
APASS_J200615.5+442725	2412371.523501	1892.745966	12.28	 0.09	14.72	301.56481	 44.45724	 25.8	0.083	i07203	152	128	1349451776	641	0.000700	7	16,17,18,19,21,22,28,30	0,7,9
APASS_J200615.5+442725	2412672.696871	1893.570402	12.12	 0.13	14.11	301.56460	 44.45710	-17.8	0.238	i08962	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2412674.755495	1893.576042	12.22	 0.17	13.56	301.56494	 44.45727	-73.5	0.183	i08993	151	128	1345257472	657	0.000700	7	16,17,18,19,21,28,30	0,4,7,9
APASS_J200615.5+442725	2412684.662472	1893.603185	12.22	 0.10	13.64	301.56499	 44.45697	 82.8	0.240	i09114	151	128	1349451776	656	0.000700	7	16,17,18,19,21,22,28,30	4,7,9
APASS_J200615.5+442725	2412727.547286	1893.720677	12.24	 0.10	14.28	301.56498	 44.45716	 84.7	0.397	i09512	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2412948.839445	1894.326957	12.45	 0.20	13.32	301.56490	 44.45735	 52.9	0.607	a00582	151	268484608	1349191680	4608	0.007500	14,15,28	11,16,17,19,21,22,28,30	9,12
APASS_J200615.5+442725	2412993.612858	1894.449624	12.45	 0.13	13.95	301.56487	 44.45707	 61.3	0.309	i11180	152	0	1349451776	640	0.000700		16,17,18,19,21,22,28,30	7,9
APASS_J200615.5+442725	2412998.623981	1894.463353	12.47	 0.27	12.48	301.56292	 44.45611	 72.3	0.269	i11198	152	75505792	1349386243	641	0.000700	7,13,23,26	0,1,17,18,19,21,22,28,30	0,7,9
