title  Photometry data for K8462852 from search centered on KIC8462852 using the kepler calibration catalog
REF	Date	year	magcal_magdep	magcal_local_rms	limiting_mag_local	ra	dec	THETA_J2000	ELLIPTICITY	Plate	versionId	AFLAGS	BFLAGS	quality	timeAccuracy	AFLAGSBits	BFLAGSBits	qualitybits
---	----	----	-------------	----------------	------------------	--	---	-----------	-----------	-----	---------	------	------	-------	------------	----------	----------	-----------
K8462852	2411313.525236	1889.849384	11.97	 0.21	12.28	301.56503	 44.45709	-87.4	0.511	i00083	164	8192	1357789184	512	0.000700	13	11,12,13,17,18,19,21,22,23,28,30	9
K8462852	2411610.664686	1890.663465	11.81	 0.41	12.82	301.56555	 44.45787	-77.5	0.029	i01756	164	16512	1492070402	648	0.000700	7,14	1,12,13,16,17,18,19,21,22,23,27,28,30	3,7,9
K8462852	2411640.532201	1890.745294	11.74	 0.36	12.71	301.56427	 44.45698	-51.5	0.446	i01889	164	33554560	1487810560	648	0.000700	7,25	12,13,17,18,19,21,23,27,28,30	3,7,9
K8462852	2411640.603185	1890.745488	12.30	 0.25	13.15	301.56435	 44.45791	 41.3	0.181	i01893	164	67108864	1357787139	640	0.000700	26	0,1,12,13,17,18,19,21,22,23,28,30	7,9
K8462852	2411692.454482	1890.887547	11.47	 3.50	12.30	301.56575	 44.45693	-22.6	0.367	i02302	164	302028800	1089089539	640	0.000700	11,12,15,25,28	0,1,12,13,17,19,21,22,23,30	7,9
K8462852	2411698.539278	1890.904217	12.02	 0.30	13.48	301.56452	 44.45732	 73.9	0.327	i02351	164	0	1357852672	640	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2411720.480699	1890.964331	12.05	 0.28	13.30	301.56488	 44.45708	 86.8	0.391	i02513	164	128	1357852672	656	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	4,7,9
K8462852	2411746.448034	1891.035474	12.07	 0.32	13.78	301.56495	 44.45697	 52.1	0.270	i02801	164	0	1357852672	640	0.000700		12,13,16,17,18,19,21,22,23,28,30	7,9
K8462852	2411964.667434	1891.633335	11.94	 0.40	12.91	301.56450	 44.45714	-87.2	0.402	i04047	164	128	1357852672	656	0.000700	7	12,13,16,17,18,19,21,22,23,28,30	4,7,9
