year,mag_bin,uncertainty,high,low,date,pg,lx,ly,se
1935,-0.016,0.04,0.024,-0.056,1980.92,-0.61688,1934.4525,0.01606962,0.01288908
1940,0.031,0.04,0.071,-0.009,1935.92,-0.420981,1935.6867,0.01908832,0.01285504
1945,0.013,0.06,0.073,-0.047,1938.67,-0.395514,1936.921,0.02216942,0.01289576
1950,-0.099,0.08,-0.019,-0.179,1986.82,-0.395402,1938.1552,0.0251962,0.0130288
1955,0.128,0.06,0.188,0.068,1981.67,-0.377135,1939.3894,0.0280059,0.01326133
1960,0.012,0.04,0.052,-0.028,1970.76,-0.368947,1940.6237,0.03037995,0.01358033
1965,-0.022,0.03,0.008,-0.052,1959.97,-0.359967,1941.8579,0.03203991,0.01394654
1970,-0.052,0.03,-0.022,-0.082,1961.67,-0.34101,1943.0921,0.03266873,0.01430872
1975,-0.047,0.04,-0.007,-0.087,1964.69,-0.335496,1944.3264,0.03200259,0.01466563
1980,0.036,0.04,0.076,-0.004,1978.35,-0.326647,1945.5606,0.0300458,0.01515509
1985,-0.012,0.04,0.028,-0.052,1962.74,-0.324575,1946.7948,0.02731969,0.0159514
1990,-0.024,0.04,0.016,-0.064,1969.7,-0.323244,1948.0291,0.02472384,0.01683225
1995,0.053,0.04,0.093,0.013,1962.67,-0.318987,1949.2633,0.02280347,0.01719241
,,,,,1965.67,-0.310865,1950.4975,0.02131222,0.01677428
,,,,,1964.02,-0.301778,1951.7317,0.01966976,0.01586189
,,,,,1985.88,-0.296533,1952.966,0.01750113,0.01483771
,,,,,1964.53,-0.289459,1954.2002,0.01471362,0.01389951
,,,,,1966.55,-0.284343,1955.4344,0.01135027,0.01308087
,,,,,1970.49,-0.284117,1956.6687,0.00747397,0.01235473
,,,,,1963.7,-0.283757,1957.9029,0.00313305,0.01169652
,,,,,1968.58,-0.283403,1959.1371,-0.00162336,0.01109969
,,,,,1993.85,-0.27866,1960.3714,-0.00671511,0.01056924
,,,,,1958.78,-0.278141,1961.6056,-0.01200691,0.01011189
,,,,,1974.05,-0.277406,1962.8398,-0.01729794,0.00973055
,,,,,1966.53,-0.276837,1964.074,-0.02232524,0.00942423
,,,,,1971.66,-0.274113,1965.3083,-0.02677714,0.00919129
,,,,,1940.67,-0.271014,1966.5425,-0.03031383,0.00903292
,,,,,1984.55,-0.270901,1967.7767,-0.03259516,0.00895506
,,,,,1968.82,-0.268609,1969.011,-0.03331988,0.00896803
,,,,,1967.94,-0.266192,1970.2452,-0.03228105,0.00908403
,,,,,1984.67,-0.264236,1971.4794,-0.0294367,0.00931297
,,,,,1965.72,-0.264017,1972.7137,-0.02498045,0.00965667
,,,,,1980.68,-0.263367,1973.9479,-0.01937966,0.01010291
,,,,,1939.63,-0.260055,1975.1821,-0.01334189,0.01062213
,,,,,1978.75,-0.258476,1976.4164,-0.00768586,0.01117033
,,,,,1987.73,-0.257247,1977.6506,-0.00313303,0.01169908
,,,,,1966.46,-0.248157,1978.8848,-0.00008401,0.01216896
,,,,,1934.61,-0.247279,1980.119,0.00152361,0.01255934
,,,,,1967.61,-0.247221,1981.3533,0.00219236,0.01286939
,,,,,1967.42,-0.246855,1982.5875,0.00266576,0.0131111
,,,,,1960.54,-0.245533,1983.8217,0.00364556,0.01330185
,,,,,1935.91,-0.244797,1985.056,0.00556892,0.01346291
,,,,,1972.13,-0.242638,1986.2902,0.00853644,0.01362168
,,,,,1963.58,-0.241553,1987.5244,0.01237765,0.01381139
,,,,,1984.67,-0.240975,1988.7587,0.01677734,0.01406558
,,,,,1934.55,-0.238726,1989.9929,0.02139213,0.01441082
,,,,,1957.81,-0.237916,1991.2271,0.02592558,0.01486187
,,,,,1964.83,-0.237275,1992.4613,0.03016125,0.01542136
,,,,,1962.65,-0.236506,1993.6956,0.03396647,0.01608285
,,,,,1963.87,-0.236121,1994.9298,0.03728017,0.01683505
,,,,,1968.24,-0.234903,,,
,,,,,1994.92,-0.233229,,,
,,,,,1973.77,-0.23188,,,
,,,,,1958.77,-0.229906,,,
,,,,,1963.8,-0.229448,,,
,,,,,1935.82,-0.228773,,,
,,,,,1968.26,-0.228719,,,
,,,,,1937.76,-0.224662,,,
,,,,,1957.68,-0.224417,,,
,,,,,1972.78,-0.222986,,,
,,,,,1967.11,-0.221438,,,
,,,,,1988.84,-0.22127,,,
,,,,,1979.79,-0.22098,,,
,,,,,1971.72,-0.220098,,,
,,,,,1969.03,-0.219991,,,
,,,,,1965.98,-0.21956,,,
,,,,,1965.82,-0.217703,,,
,,,,,1969.03,-0.216547,,,
,,,,,1968.55,-0.216439,,,
,,,,,1964.61,-0.211877,,,
,,,,,1976.49,-0.211844,,,
,,,,,1963.48,-0.210893,,,
,,,,,1988.77,-0.210373,,,
,,,,,1962.83,-0.207327,,,
,,,,,1992.73,-0.206349,,,
,,,,,1962.83,-0.20615,,,
,,,,,1976.24,-0.205665,,,
,,,,,1935.65,-0.205177,,,
,,,,,1962.83,-0.205106,,,
,,,,,1984.96,-0.202022,,,
,,,,,1994.59,-0.201552,,,
,,,,,1959.6,-0.200806,,,
,,,,,1934.63,-0.200057,,,
,,,,,1955.39,-0.199816,,,
,,,,,1992.74,-0.1993,,,
,,,,,1965.28,-0.199188,,,
,,,,,1935.96,-0.198817,,,
,,,,,1948.84,-0.197426,,,
,,,,,1983.47,-0.19706,,,
,,,,,1974.57,-0.197033,,,
,,,,,1957.83,-0.197025,,,
,,,,,1965.57,-0.196953,,,
,,,,,1985.69,-0.195302,,,
,,,,,1988.93,-0.194175,,,
,,,,,1964.43,-0.193537,,,
,,,,,1934.77,-0.192803,,,
,,,,,1962.98,-0.191998,,,
,,,,,1958.72,-0.191342,,,
,,,,,1972.53,-0.190588,,,
,,,,,1940.77,-0.190078,,,
,,,,,1959.99,-0.189293,,,
,,,,,1962.78,-0.189292,,,
,,,,,1956.68,-0.18913,,,
,,,,,1959.51,-0.189071,,,
,,,,,1968.01,-0.187862,,,
,,,,,1981.77,-0.187806,,,
,,,,,1979.56,-0.187427,,,
,,,,,1985.72,-0.187031,,,
,,,,,1967.87,-0.186861,,,
,,,,,1983.52,-0.186816,,,
,,,,,1958.72,-0.18567,,,
,,,,,1985.87,-0.184662,,,
,,,,,1934.76,-0.183907,,,
,,,,,1971.81,-0.183574,,,
,,,,,1985.89,-0.182483,,,
,,,,,1967.37,-0.182242,,,
,,,,,1987,-0.182035,,,
,,,,,1962.69,-0.180808,,,
,,,,,1992.58,-0.180609,,,
,,,,,1985.96,-0.179991,,,
,,,,,1935.52,-0.179951,,,
,,,,,1971.9,-0.179414,,,
,,,,,1970.52,-0.179275,,,
,,,,,1957.9,-0.178634,,,
,,,,,1968.67,-0.178608,,,
,,,,,1965.82,-0.178578,,,
,,,,,1961.85,-0.177347,,,
,,,,,1935.67,-0.176569,,,
,,,,,1969.85,-0.175214,,,
,,,,,1956.69,-0.172288,,,
,,,,,1966.81,-0.171981,,,
,,,,,1989.61,-0.171974,,,
,,,,,1965.8,-0.17189,,,
,,,,,1963.78,-0.170974,,,
,,,,,1964.23,-0.17033,,,
,,,,,1963.71,-0.170005,,,
,,,,,1990.66,-0.168259,,,
,,,,,1991.64,-0.168098,,,
,,,,,1962.51,-0.168052,,,
,,,,,1963.67,-0.167793,,,
,,,,,1976.73,-0.16737,,,
