year,mag_bin,uncertainty,high,low,date,pv,lx,ly,se
1935,-0.20,0.205,0.045,-0.365,1976.66,-0.495937,1934.3666,-0.2029241,0.10370712
1960,-0.046,0.115,0.069,-0.161,1977.63,-0.478699,1935.6026,-0.202873,0.11015896
1965,0.092,0.035,0.127,0.057,1963.65,-0.460839,1936.8385,-0.20271724,0.11653033
1970,0.053,0.03,0.083,0.023,1987.58,-0.438589,1938.0745,-0.20224252,0.12248749
1975,0.028,0.035,0.063,-0.007,1991.91,-0.428884,1939.3105,-0.20080426,0.1271766
1980,-0.092,0.035,-0.057,-0.127,1969.77,-0.40767,1940.5465,-0.19655808,0.12829014
1985,0.019,0.035,0.054,-0.016,1985.78,-0.389779,1941.7825,-0.18503136,0.12043845
1990,0.029,0.035,0.064,-0.006,1965.5,-0.37133,1943.0185,-0.15991751,0.09720532
1995,0.076,0.035,0.111,0.041,1983.67,-0.370435,1944.2545,-0.12404472,0.06802029
,,,,,1971.41,-0.368699,1945.4904,-0.09341149,0.05657226
,,,,,1992.49,-0.347579,1946.7264,-0.0742512,0.05595714
,,,,,1965.43,-0.345401,1947.9624,-0.06133042,0.05420985
,,,,,1976.26,-0.315961,1949.1984,-0.04998904,0.05014155
,,,,,1968.58,-0.291156,1950.4344,-0.03844905,0.04454319
,,,,,1967.67,-0.290761,1951.6704,-0.02660045,0.03819172
,,,,,1970.74,-0.2851,1952.9063,-0.01506362,0.03185478
,,,,,1983.64,-0.284449,1954.1423,-0.00463058,0.02624324
,,,,,1969.03,-0.283233,1955.3783,0.00408523,0.02184263
,,,,,1967.6,-0.282908,1956.6143,0.01080483,0.0187806
,,,,,1963.47,-0.282708,1957.8503,0.01556364,0.01684455
,,,,,1993.86,-0.280048,1959.0863,0.01859491,0.01565603
,,,,,1976.67,-0.274916,1960.3222,0.0202035,0.01487072
,,,,,1994.93,-0.274366,1961.5582,0.02067713,0.01426972
,,,,,1976.73,-0.268552,1962.7942,0.02024142,0.01374833
,,,,,1978.27,-0.267074,1964.0302,0.01904629,0.01327317
,,,,,1975.98,-0.26569,1965.2662,0.01716973,0.01284728
,,,,,1965.27,-0.264733,1966.5022,0.01463013,0.01248933
,,,,,1970.76,-0.263939,1967.7382,0.01140434,0.01222203
,,,,,1989.61,-0.262445,1968.9741,0.00745254,0.01206488
,,,,,1980.45,-0.258644,1970.2101,0.002754,0.01202839
,,,,,1965.72,-0.249355,1971.4461,-0.00264279,0.01210981
,,,,,1991.91,-0.248432,1972.6821,-0.00855625,0.01229179
,,,,,1972.86,-0.246931,1973.9181,-0.014608,0.012546
