x1,y1,x2,y2,x3,y3,vx1,vy1,vx2,vy2,vx3,vy3,period,m1,m2,m3
-1,0,1,0,0,0,0.30689,0.12551,0.30689,0.12551,-0.61378,-0.25102,6.2356,1,1,1
-1,0,1,0,0,0,0.39295,0.09758,0.39295,0.09758,-0.7859,-0.19516,7.0039,1,1,1
-1,0,1,0,0,0,0.18428,0.58719,0.18428,0.58719,-0.36856,-1.17438,63.5345,1,1,1
-1,0,1,0,0,0,0.46444,0.39606,0.46444,0.39606,-0.92888,-0.79212,14.8939,1,1,1
-1,0,1,0,0,0,0.43917,0.45297,0.43917,0.45297,-0.87834,-0.90594,28.6703,1,1,1
-1,0,1,0,0,0,0.40592,0.23016,0.40592,0.23016,-0.81184,-0.46032,13.8658,1,1,1
-1,0,1,0,0,0,0.38344,0.37736,0.38344,0.37736,-0.76688,-0.75472,25.8406,1,1,1
-1,0,1,0,0,0,0.0833,0.12789,0.0833,0.12789,-0.1666,-0.25578,10.4668,1,1,1
-1,0,1,0,0,0,0.350112,0.07934,0.350112,0.07934,-0.700224,-0.15868,79.4759,1,1,1
-1,0,1,0,0,0,0.08058,0.58884,0.08058,0.58884,-0.16116,-1.17768,21.271,1,1,1
-1,0,1,0,0,0,0.55906,0.34919,0.55906,0.34919,-1.11812,-0.69838,55.5018,1,1,1
-1,0,1,0,0,0,0.51394,0.30474,0.51394,0.30474,-1.02788,-0.60948,17.3284,1,1,1
-1,0,1,0,0,0,0.2827,0.32721,0.2827,0.32721,-0.5654,-0.65442,10.9626,1,1,1
-1,0,1,0,0,0,0.41682,0.33033,0.41682,0.33033,-0.83364,-0.66066,55.7898,1,1,1
-1,0,1,0,0,0,0.41734,0.3131,0.41734,0.3131,-0.83468,-0.6262,54.2076,1,1,1
-1,0,1,0,0,0,0.347112814,0.532726852,0.347112814,0.532726852,-0.694225627,-1.065453704,6.325,1,1,1
-1,0,1,0,0,0,0.339392899,0.536191206,0.339392899,0.536191206,-0.678785797,-1.072382411,6.2917,1,1,1
-1,0,1,0,0,0,0.255430933,0.516385834,0.255430933,0.516385834,-0.510861865,-1.032771669,35.042,1,1,1
-1,0,1,0,0,0,0.410354987,0.551985439,0.410354987,0.551985439,-0.820709974,-1.103970877,57.544,1,1,1
-1,0,1,0,0,0,0.203491687,0.518112859,0.203491687,0.518112859,-0.406983373,-1.036225718,32.85,1,1,1
-1,0,1,0,0,0,0.456810813,0.540330509,0.456810813,0.540330509,-0.913621626,-1.080661017,64.834,1,1,1
-1,0,1,0,0,0,0.202217141,0.531104034,0.202217141,0.531104034,-0.404434282,-1.062208068,53.621,1,1,1
-1,0,1,0,0,0,0.271262782,0.513255944,0.271262782,0.513255944,-0.542525564,-1.026511887,55.915,1,1,1
-1,0,1,0,0,0,0.23000435,0.532302845,0.23000435,0.532302845,-0.460008699,-1.064605689,71.011,1,1,1
-1,0,1,0,0,0,0.210831804,0.517410024,0.210831804,0.517410024,-0.421663607,-1.034820049,80.323,1,1,1
-1,0,1,0,0,0,0.213273167,0.516543452,0.213273167,0.516543452,-0.426546334,-1.033086905,80.356,1,1,1
-1,0,1,0,0,0,0.2138543,0.519866571,0.2138543,0.519866571,-0.427708601,-1.039733141,81.217,1,1,1
-1,0,1,0,0,0,0.219373091,0.51778142,0.219373091,0.51778142,-0.438746183,-1.035562839,81.271,1,1,1
-1,0,1,0,0,0,0.227212353,0.520048434,0.227212353,0.520048434,-0.454424707,-1.040096869,82.671,1,1,1
-1,0,1,0,0,0,0.219976613,0.52343385,0.219976613,0.52343385,-0.439953226,-1.0468677,82.743,1,1,1
-1,0,1,0,0,0,0.226698761,0.524623517,0.226698761,0.524623517,-0.453397522,-1.049247034,83.786,1,1,1
-1,0,1,0,0,0,0.268638364,0.522727089,0.268638364,0.522727089,-0.537276728,-1.045454178,88.674,1,1,1
-1,0,1,0,0,0,0.260504702,0.531168514,0.260504702,0.531168514,-0.521009403,-1.062337028,89.941,1,1,1
-1,0,1,0,0,0,0.289904111,0.522624065,0.289904111,0.522624065,-0.579808222,-1.045248131,91.982,1,1,1
4.34039,0,-4.34039,0,0,0,0.147307,0.060243,0.147307,0.060243,-0.294614,-0.120486,56.378,1,1,1
4.01639,0,-4.01639,0,0,0,0.196076,0.04869,0.196076,0.04869,-0.392152,-0.09738,56.375,1,1,1
3.57707,0,-3.57707,0,0,0,0.217464,0.13787,0.217464,0.13787,-0.434928,-0.27574,140.375,1,1,1
3.49919,0,-3.49919,0,0,0,0.220304,0.151493,0.220304,0.151493,-0.440608,-0.302986,224.168,1,1,1
3.64389,0,-3.64389,0,0,0,0.213846,0.127658,0.213846,0.127658,-0.427692,-0.255316,337.265,1,1,1
2.88067,0,-2.88067,0,0,0,0.047479,0.346935,0.047479,0.346935,-0.094958,-0.69387,104.005,1,1,1
2.78243,0,-2.78243,0,0,0,0.111649,0.346938,0.111649,0.346938,-0.223298,-0.693876,156.139,1,1,1
3.10575,0,-3.10575,0,0,0,0.082172,0.30806,0.082172,0.30806,-0.164344,-0.61612,208.325,1,1,1
2.72751,0,-2.72751,0,0,0,0.111581,0.355545,0.111581,0.355545,-0.223162,-0.71109,286.192,1,1,1
2.85802,0,-2.85802,0,0,0,0.304003,0.180257,0.304003,0.180257,-0.608006,-0.360514,83.727,1,1,1
3.8781,0,-3.8781,0,0,0,0.143554,0.166156,0.143554,0.166156,-0.287108,-0.332312,83.727,1,1,1
2.91742,0,-2.91742,0,0,0,0.300431,0.169455,0.300431,0.169455,-0.600862,-0.33891,251.183,1,1,1
3.88195,0,-3.88195,0,0,0,0.140203,0.16836,0.140203,0.16836,-0.280406,-0.33672,251.183,1,1,1
3.30284,0,-3.30284,0,0,0,0.229355,0.181764,0.229355,0.181764,-0.45871,-0.363528,334.877,1,1,1
3.36676,0,-3.36676,0,0,0,0.227451,0.170639,0.227451,0.170639,-0.454902,-0.341278,334.872,1,1,1
3.27922,0,-3.27922,0,0,0,0.228839,0.187327,0.228839,0.187327,-0.457678,-0.374654,418.601,1,1,1
3.40064,0,-3.40064,0,0,0,0.226509,0.164556,0.226509,0.164556,-0.453018,-0.329112,418.601,1,1,1
2.76456,0,-2.76456,0,0,0,0.279332,0.238203,0.279332,0.238203,-0.558664,-0.476406,68.464,1,1,1
2.61172,0,-2.61172,0,0,0,0.271747,0.280288,0.271747,0.280288,-0.543494,-0.560576,121.006,1,1,1
2.52788,0,-2.52788,0,0,0,0.281803,0.289097,0.281803,0.289097,-0.563606,-0.578194,389.211,1,1,1
2.59155,0,-2.59155,0,0,0,0.249451,0.304409,0.249451,0.304409,-0.498902,-0.608818,225.65,1,1,1
