id,period_x,duration,depth,period_y,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
1026032,730349.3373611654,17280.0,0.0035193722008107,8.4604378,2.3e-05,54966.773813,0.030112,0.15,69.3036,9.8547,14.813,5715.0,False
1026957,1127302.19445964,28512.0,0.0016874949941911,21.7613058,8.81e-05,54956.017106,0.011314,0.01,69.3933,9.7104,12.559,4845.0,True
1161345,370706.16202258045,4320.0,0.0008693979287935,4.2874555,8.6e-06,55005.028983,0.023798,0.24,69.4057,9.9008,11.631,5836.0,True
1295531,72815.18666950992,28512.0,0.0079799723572021,1.6864407,2.2e-06,54999.678806,0.088682,0.97,-1.0,-1.0,-1.0,-1.0,False
1571511,31406.444847657254,28512.0,4.796141036363742e-05,14.022451,4.72e-05,54954.504752,0.065876,0.17,69.7133,10.0985,13.424,5804.0,False
1572353,39557.4007544296,4320.0,0.0478963462671451,0.2289313,1e-07,54964.674573,0.013123,0.91,69.7485,9.9451,15.234,4470.0,False
1573836,102536.6522456263,28512.0,0.000168171597805,3.5570929,6.6e-06,55000.034563,-1.0,-1.0,69.8769,9.7288,13.124,6283.0,False
1722276,30420.265997858452,28512.0,7.878957972038528e-05,569.95,0.0073539,55081.9237,0.035212,0.0,70.0025,9.618,14.645,5370.0,False
1868650,28628.33373494106,28512.0,0.0001213321721913,0.5847312,5e-07,54953.769678,0.028231,1.0,70.0336,9.7738,13.453,10733.0,True
2010607,803598.1233736421,28512.0,0.0001905708463961,18.632296,7.1e-05,54974.489675,-1.0,-1.0,69.7736,10.5638,11.347,6122.0,True
2012362,33343.84689632622,28512.0,0.0118913448582381,0.3863229,3e-07,54964.744705,0.02193,0.93,69.9395,10.273,14.121,6218.0,False
2141697,42905.08685472065,21600.0,0.0284300913876306,0.3310425,2e-07,54953.836742,0.019676,0.98,68.3825,13.5725,13.399,6049.0,False
2159783,32303.42700126965,28512.0,0.1742922207489848,0.3738842,2e-07,54964.975549,0.02246,0.87,70.1658,9.9993,14.965,5643.0,False
2162283,39172.696700803026,28512.0,0.0069594482014535,0.9063779,9e-07,54954.341553,0.04968,1.0,70.362,9.6241,9.551,6683.0,True
2162994,177112.00497435956,17280.0,0.1508081749710145,4.1015955,8.1e-06,54965.631653,0.036112,0.42,70.4545,9.5227,14.162,5410.0,False
2302092,50905.39474589685,4320.0,0.1122151511622699,0.2946734,2e-07,54964.690581,0.025649,0.88,70.2621,10.1328,14.44,5245.0,False
2305277,32718.337044797194,28512.0,0.0300444572819586,0.3787718,3e-07,54964.986693,0.020035,0.98,70.4761,9.6111,15.101,5694.0,False
2305372,121219.67386691539,12960.0,0.5184441170216274,1.404692,1.7e-06,54965.954227,0.035813,0.58,70.5027,9.6071,13.821,5664.0,False
2306740,63244.70425291804,28512.0,0.0022156992382127,10.306987,3.06e-05,54966.425207,0.067457,0.27,70.6277,9.4217,13.545,5647.0,False
2306756,31463.660942105504,28512.0,2.903851584023348e-05,386.6,0.0050535,54999.342231,0.044178,0.0,70.6051,9.4067,12.394,5362.0,True
2307199,30425.047068199532,28512.0,7.828404746608431e-05,13.4471107,4.47e-05,55006.176594,0.020973,0.07,70.6055,9.317,14.0,6028.0,True
2308957,95931.16796643724,17280.0,0.2394986548653846,2.2196838,3.3e-06,54965.166461,0.048525,0.59,70.7196,9.0391,14.52,5697.0,False
2309587,158935.71679193812,28512.0,0.015236711183367,1.8385106,2.5e-06,54965.101351,0.020303,0.43,70.8243,8.9608,13.925,5560.0,False
2309719,30339.43975074733,28512.0,4.7347783200165535e-05,54.3563603,0.0003133,54997.069278,0.041307,0.02,70.7885,8.9146,12.899,5786.0,True
2435971,35218.174997463204,28512.0,0.0085651583368691,0.271828,2e-07,54964.815967,0.018215,0.94,69.9236,11.0114,14.695,-1.0,False
2437038,34694.324036232494,28512.0,0.1651940937791333,0.2676785,2e-07,54964.980693,0.049493,0.87,69.9235,10.907,15.955,5461.0,False
2437452,624396.5388304872,28512.0,0.0082321699677437,14.4699302,4.99e-05,54974.81653,0.048054,0.16,69.9493,10.8949,16.981,5398.0,True
2440757,123857.25504559468,4320.0,0.0015880586021666,1.4337707,1.8e-06,54964.685956,0.013408,0.36,70.1403,10.443,15.122,5990.0,False
2442084,31935.74168149745,28512.0,0.0001732647676005,49.7885977,0.0002837,55008.192092,0.045072,0.03,70.2828,10.2333,15.591,4005.0,False
2444187,33715.489089809285,28512.0,0.2123613057604962,0.3901594,3e-07,54964.814979,0.021043,0.76,70.4318,9.8892,14.138,6162.0,False
2444348,84746.98181275294,28512.0,0.0002674675118635,103.2069891,0.0007653,54992.47412,-1.0,-1.0,70.4143,9.8482,10.316,4546.0,False
2445134,363485.7762798731,17280.0,0.0015328597525031,8.4120089,2.28e-05,54972.647749,0.035101,0.16,70.5112,9.7361,13.551,5999.0,False
2445975,97673.87324552456,28512.0,0.0030719349183287,3.3888824,6.2e-06,54967.981114,0.018139,0.14,70.6086,9.6242,13.513,-1.0,False
2447893,57157.51203035615,4320.0,0.1256144733987886,0.66162,6e-07,54965.113742,0.014914,0.58,70.771,9.3571,14.49,5059.0,False
2450566,79441.14216623706,28512.0,0.002384583906058,1.8445871,2.5e-06,55001.553286,0.099698,0.98,70.9677,8.9128,11.72,6380.0,False
2556127,36190.711598740294,28512.0,0.0020460919529737,0.4188713,3e-07,54953.710274,0.011073,0.6,68.6932,13.6413,12.895,5920.0,True
2557430,56070.452138453744,8640.0,0.0227492713556173,1.2977364,1.5e-06,54954.461036,0.017907,0.51,68.8435,13.3388,11.471,6248.0,True
2570289,36192.60587586938,28512.0,0.0281412116308775,0.2790278,2e-07,54964.579321,0.017007,0.9,70.011,10.8936,15.33,5966.0,False
2571439,55454.93545189577,4320.0,0.0286378667960174,0.3209791,2e-07,54964.701572,0.018242,0.93,70.1227,10.7643,14.696,5046.0,False
2576107,30729.29279713771,28512.0,0.0001709991444112,205.583017,0.001923,54862.171422,0.038232,0.0,70.5282,10.0336,15.247,6118.0,False
2576692,31045.854393679572,28512.0,3.828371186095064e-05,87.8785329,0.0006381,55027.106692,0.076217,0.04,70.5049,9.916,12.744,5573.0,False
2577756,37576.48672513246,28512.0,0.0403003335739024,0.8703335,9e-07,54964.662821,0.033717,0.63,70.5983,9.7687,15.514,5630.0,False
2580872,706355.2291384428,4320.0,0.0078689980461675,15.9266276,5.71e-05,54978.551299,0.044913,0.12,70.8232,9.2907,14.88,5293.0,False
2693092,1174320.416841962,12960.0,0.0026581903638381,39.8415237,0.0002106,54961.298937,0.055086,0.05,68.6396,14.0629,12.003,5819.0,True
2694741,56460.022480478496,4320.0,0.0673789570465362,0.3266474,2e-07,54953.773721,0.019405,0.93,68.787,13.6886,12.297,5302.0,False
2695740,156170.42575864532,28512.0,0.0412966638270581,3.6158751,6.7e-06,54956.4182,0.208455,0.85,68.926,13.4738,13.24,4881.0,False
2696703,125830.62601845726,28512.0,0.0098302974525897,6.094094,1.42e-05,54997.116516,0.050387,0.06,69.0784,13.258,9.58,-1.0,False
2708156,163418.82348093568,17280.0,0.4972480263309773,1.8912721,2.6e-06,54954.335595,0.046299,0.57,70.1327,10.9292,10.672,11061.0,True
2711114,123541.15111397448,8640.0,0.0012738457235698,2.8588804,4.8e-06,54967.174931,0.016196,0.29,70.4205,10.4294,12.335,6281.0,False
2715007,38487.87351092168,28512.0,0.0075712626435929,0.2971105,2e-07,54964.782119,0.018796,0.87,70.7132,9.8126,14.73,5598.0,False
2715417,30627.20359906727,28512.0,0.0333902234756732,0.2364399,1e-07,54964.666158,0.013583,0.77,70.7256,9.7376,14.07,5189.0,False
2717141,34131.56908568466,28512.0,0.2087709504207648,0.3945715,3e-07,54953.756174,0.022583,0.78,70.8858,9.502,13.519,6140.0,True
2719873,741519.7903459875,4320.0,0.0047927023899518,17.2792902,6.39e-05,54968.273349,0.032901,0.07,71.1098,9.0799,15.16,5086.0,False
2720096,31233.343234518255,28512.0,7.544274175593762e-05,26.6746797,0.000133,55003.029283,-1.0,-1.0,71.0796,9.0213,13.047,4832.0,False
2720354,121829.84692414074,28512.0,0.0052611294120533,2.8213281,4.7e-06,54956.215382,0.035955,0.47,71.14,9.0016,13.116,6513.0,False
2831632,111197.47563787235,28512.0,0.0045323215706424,2.573172,4.1e-06,54954.72996,0.14952,0.92,68.7098,14.2772,13.198,7045.0,False
2835289,37055.04160993104,28512.0,0.0125788916264448,0.8577619,8e-07,55000.442959,0.052267,0.92,69.0466,13.4152,13.009,6228.0,True
2851100,30641.7454344281,28512.0,0.0001916945702356,0.8901084,9e-07,54965.364973,0.046455,0.46,70.5117,10.3362,15.723,4600.0,False
2851474,119647.12741457987,28512.0,0.0023929508441871,2.7682927,4.6e-06,54965.52665,0.157163,0.95,70.5708,10.2962,12.624,8354.0,False
2852560,756045.5797544357,4320.0,0.0066532420634869,11.9613082,3.76e-05,54964.912445,0.028009,0.09,70.6142,10.1265,15.308,5381.0,False
2854432,41785.83879429108,4320.0,0.0767777238384345,0.3223256,2e-07,54964.880329,0.019925,0.93,70.8313,9.8809,14.922,5103.0,False
2854752,40611.25555699305,28512.0,0.0715531067084759,0.4704329,3e-07,54964.893006,0.031989,0.79,70.7846,9.7966,13.99,7073.0,False
2856960,33528.63549992907,28512.0,0.0021955308011581,0.2585073,1e-07,54964.658506,0.00731,0.64,71.0098,9.5159,15.615,4733.0,True
2856960,33528.63549992907,28512.0,0.0021955308011581,204.2558794,0.001923,54997.652563,0.369952,0.04,71.0098,9.5159,15.615,4733.0,True
2856960,33528.63549992907,28512.0,0.0021955308011581,0.2585073,1e-07,54964.658506,0.00731,0.64,71.0098,9.5159,15.615,4733.0,True
2856960,33528.63549992907,28512.0,0.0021955308011581,204.2558794,0.001923,54997.652563,0.369952,0.04,71.0098,9.5159,15.615,4733.0,True
2858322,37708.221334948044,12960.0,0.0644510659393526,0.4363999,3e-07,54964.659801,0.071035,0.77,71.1062,9.3052,14.751,5605.0,False
2860594,475540.0070412075,28512.0,0.0357105593300587,5.4999446,1.22e-05,54960.317741,0.08505,0.52,71.2902,8.9645,13.37,6684.0,False
2860788,227204.29207541278,17280.0,0.0710790140961467,5.2597422,1.16e-05,54965.066911,0.041162,0.37,71.2519,8.9071,14.043,5319.0,False
2969628,171470.00632775165,28512.0,0.0016252217489052,3.9464793,7.6e-06,54999.886745,0.219425,0.99,-1.0,-1.0,-1.0,-1.0,False
2970804,59366.60686634011,8640.0,0.0032318824513507,0.6869923,6e-07,54964.658323,0.102079,0.61,68.875,13.9891,9.16,-1.0,False
2973509,573018.921207306,28512.0,0.0045283076816247,6.6276114,1.61e-05,54958.918282,0.037474,0.24,69.2363,13.3544,13.558,6058.0,False
2987433,31229.958380374705,28512.0,4.766821104050146e-05,420.93,0.0050535,55029.680109,0.106658,0.0,70.5304,10.549,13.858,6205.0,False
2997455,97624.34928421541,4320.0,0.0038168071776958,1.12985,1.3e-06,54964.788647,0.013905,0.45,71.3301,9.0157,13.8,4795.0,False
2998124,1173801.7078912961,17280.0,0.0014483429903642,28.5978844,0.0001293,54957.385528,0.056015,0.08,71.3787,8.9202,13.119,6374.0,False
3003991,313216.1207731748,12960.0,0.0046129399204031,7.2447788,1.84e-05,54964.859085,0.023069,0.13,71.9004,8.1048,13.926,5366.0,False
3098194,838081.3503199874,4320.0,0.0157715864200183,30.4765309,0.0001451,54969.971978,0.060392,0.1,69.0094,14.1354,13.901,5328.0,False
3102000,30797.728394237292,28512.0,0.0002477042728466,57.0600095,0.0003488,54997.25562,0.054576,0.03,69.4513,13.1697,15.936,5718.0,False
3102024,1190615.602649259,28512.0,0.0211810369139659,13.7825215,4.6e-05,54958.697369,0.050322,0.15,69.3845,13.1346,12.809,5117.0,True
3104113,36589.377718974065,21600.0,0.239232701871534,0.846786,8e-07,54965.284916,0.050595,0.85,69.6895,12.6802,13.447,5910.0,False
3113266,43030.4284877593,4320.0,0.0022070004863898,0.9958613,1e-06,54964.847534,0.008549,0.39,70.5752,10.8331,15.577,5077.0,False
3115480,159546.65806521097,8640.0,0.0108814613813433,3.6937025,7e-06,54968.194275,0.02159,0.28,70.7346,10.4255,14.469,5961.0,False
