id,period,period_err,bjd0,bjd0_err,morph,GLon,GLat,kmag,Teff,SC
3863594,0.0532682,0.0,55000.0,0.004327,0.79,-1.0,-1.0,-1.0,-1.0,False
10417986,0.0737309,0.0,55000.027476,0.004231,0.99,81.039,11.082,9.128,-1.0,True
8912468,0.094838,0.0,54953.576945,0.005326,0.98,80.1095,7.8882,11.751,6194.0,False
8758716,0.1072049,0.0,54953.672989,0.006197,1.0,77.7478,11.6565,13.531,-1.0,False
10855535,0.1127824,0.0,54964.629315,0.006374,0.99,79.3949,15.9212,13.87,7555.0,False
9472174,0.1257653,1e-07,54953.643178,0.018318,0.78,79.0187,11.6745,12.264,10645.0,True
9612468,0.1334715,1e-07,54953.603803,0.007796,0.99,81.0112,8.5285,11.531,7202.0,False
6613627,0.1507996,1e-07,55115.344848,0.008552,0.98,75.1606,10.2517,12.548,7090.0,False
5302006,0.1511712,1e-07,54980.50904,0.007895,0.97,75.3495,6.6449,15.05,6536.0,False
9898401,0.1527742,1e-07,54964.733972,0.00881,0.99,79.6654,11.8375,12.073,7376.0,False
7375612,0.1600729,1e-07,54953.638704,0.008521,0.97,76.4714,9.6904,12.041,6682.0,False
5872696,0.1726132,1e-07,54953.79871,0.009822,0.99,73.2243,12.1282,11.854,-1.0,False
7767774,0.1733883,1e-07,55007.740259,0.009929,0.99,77.315,9.3041,12.511,-1.0,False
12350008,0.1845296,1e-07,55002.014438,0.007796,0.71,81.7612,18.1985,14.602,6108.0,False
10684673,0.1925563,1e-07,55026.598808,0.010851,1.0,81.9764,10.3016,11.125,7106.0,True
9532219,0.1981551,1e-07,55001.945386,0.011223,0.77,78.9874,11.9849,16.118,5031.0,False
6699679,0.2012033,1e-07,54953.612834,0.011484,1.0,75.3042,10.2256,11.574,-1.0,False
6287172,0.2038732,1e-07,54953.651911,0.010821,0.95,74.2716,11.0419,12.714,6646.0,False
11825204,0.2096356,1e-07,54964.746093,0.012214,0.98,83.3887,12.1048,13.797,7074.0,False
4921906,0.2137324,1e-07,54964.617446,0.011635,0.96,72.413,11.231,15.203,4800.0,False
6387887,0.2169003,8e-07,54999.968602,0.005577,0.58,76.4069,7.3539,17.037,10648.0,False
8288741,0.2197664,1e-07,55000.119225,0.006874,0.64,75.1191,15.5587,14.499,5557.0,False
12055255,0.2209394,1e-07,54964.525184,0.01164,0.9,81.2592,17.7243,15.866,4093.0,False
11013201,0.2273937,1e-07,55001.990706,0.013106,0.98,77.9525,20.5223,9.275,7779.0,True
8108785,0.2288269,1e-07,54964.6407,0.012704,0.76,77.4115,10.0745,14.757,4354.0,False
1572353,0.2289313,1e-07,54964.674573,0.013123,0.91,69.7485,9.9451,15.234,4470.0,False
10288502,0.2301847,1e-07,54964.677419,0.013599,0.97,81.0008,10.8364,14.794,6116.0,False
10453521,0.2307783,6.7e-06,55000.0,0.040797,0.36,77.4985,19.0744,14.208,6541.0,False
9238207,0.231353,2e-07,55001.966607,0.012257,0.75,79.9056,9.0882,15.61,4910.0,False
5166136,0.2339477,1e-07,54964.809081,0.013922,0.82,70.3939,16.2799,15.349,4986.0,False
8555795,0.2345234,1e-07,55000.099196,0.008403,0.63,76.3279,13.8353,15.919,5002.0,False
6144827,0.2346497,1e-07,54964.644135,0.013294,0.82,75.8604,7.7098,14.997,5217.0,False
10030943,0.2357801,1e-07,54953.674633,0.012916,1.0,81.1019,9.7171,11.326,6704.0,True
10965091,0.2358555,1e-07,54964.696236,0.013589,0.76,78.7688,17.9309,15.28,4718.0,False
2715417,0.2364399,1e-07,54964.666158,0.013583,0.77,70.7256,9.7376,14.07,5189.0,False
11413213,0.2374665,2e-07,55002.094949,0.014974,0.87,82.5467,12.0281,15.861,4213.0,False
9077796,0.2380804,1e-07,54964.645249,0.010138,0.72,76.1139,16.4436,15.439,3516.0,False
6050116,0.2399081,1e-07,54964.708006,0.015182,0.79,74.5792,9.817,14.258,4569.0,False
12458797,0.2413212,2e-07,55182.791088,0.014134,0.94,82.7162,16.3581,13.895,4583.0,False
